,지역,공원면적,면적,면적대비 공원면적 비율
24,중랑구,7078975.0,18500000.0,38.26472972972973
4,관악구,10431453.08,29570000.0,35.27714940818397
8,노원구,12235699.3,35440000.0,34.525110891647856
23,중구,2969184.5000000005,9960000.0,29.811089357429722
11,동작구,3706739.0999999996,16350000.000000002,22.6711871559633
14,서초구,10607215.0,46980000.0,22.578150276713497
22,종로구,3531790.7,23910000.0,14.771186532831452
21,은평구,3970250.0,29710000.0,13.36334567485695
13,서대문구,2201726.6,17630000.0,12.488522972206468
12,마포구,2685112.6999999997,23850000.0,11.258334171907755
2,강북구,2047054.4,23600000.0,8.673959322033898
6,구로구,1720657.0,20120000.0,8.551973161033798
17,송파구,2772965.0,33870000.0,8.187082964275168
0,강남구,2851968.5,39500000.0,7.220173417721519
1,강동구,1526389.3,24590000.0,6.207357869052461
18,양천구,1064832.5,17410000.0,6.116211947156806
3,강서구,2194154.1,41440000.0,5.294773407335908
9,도봉구,1084218.0,20660000.0,5.247909002904163
15,성동구,626838.7,16860000.0,3.7179045077105575
5,광진구,584002.0,17060000.0,3.423223915592028
10,동대문구,458663.7,14220000.0,3.225483122362869
16,성북구,435685.0,24570000.0,1.7732397232397235
19,영등포구,424446.0,24550000.0,1.7289042769857432
20,용산구,247194.1,21870000.0,1.1302885230909923
7,금천구,57568.0,13020000.0,0.4421505376344086
