,지역,공원면적,면적,면적대비 공원면적 비율,공원수,인구수,인구 비율,인당 면적비
0,강남구,2851968.5,39500000.0,7.220173417721519,5,544085,0.05466537807812693,5.241770127829291
1,강동구,1526389.3,24590000.0,6.207357869052461,7,462275,0.0464457532390456,3.301907522578552
2,강북구,2047054.4,23600000.0,8.673959322033898,3,313550,0.03150303591607322,6.528637856801148
3,강서구,2194154.1,41440000.0,5.294773407335908,9,589536,0.059231936794189574,3.7218322545188083
4,관악구,10431453.08,29570000.0,35.27714940818397,2,514555,0.05169843612117702,20.272765943387977
5,광진구,584002.0,17060000.0,3.423223915592028,2,361923,0.0363631741918449,1.6136084194704399
6,구로구,1720657.0,20120000.0,8.551973161033798,4,435751,0.0437808305006054,3.9487161245757325
7,금천구,57568.0,13020000.0,0.4421505376344086,4,249641,0.025081962650691868,0.2306031461178252
8,노원구,12235699.3,35440000.0,34.525110891647856,3,529532,0.05320320719091081,23.10662868344123
9,도봉구,1084218.0,20660000.0,5.247909002904163,6,329300,0.03308547194119889,3.292493167324628
10,동대문구,458663.7,14220000.0,3.225483122362869,4,358679,0.0360372426067333,1.2787581653790716
11,동작구,3706739.0999999996,16350000.000000002,22.6711871559633,7,404617,0.04065273124941412,9.161105687600866
12,마포구,2685112.6999999997,23850000.0,11.258334171907755,5,383494,0.0385304584774313,7.001707197505045
13,서대문구,2201726.6,17630000.0,12.488522972206468,2,323860,0.03253890356172691,6.7983900450812085
14,서초구,10607215.0,46980000.0,22.578150276713497,5,429995,0.04320251292850232,24.668228700333724
15,성동구,626838.7,16860000.0,3.7179045077105575,5,302695,0.03041241096034375,2.070859115611424
16,성북구,435685.0,24570000.0,1.7732397232397235,2,449871,0.045199496956146626,0.9684665159567966
17,송파구,2772965.0,33870000.0,8.187082964275168,6,676673,0.06798677666221341,4.0979394774137585
18,양천구,1064832.5,17410000.0,6.116211947156806,4,460048,0.04622200180869926,2.3146117361666607
19,영등포구,424446.0,24550000.0,1.7289042769857432,5,405982,0.04078987570492501,1.0454798488602943
20,용산구,247194.1,21870000.0,1.1302885230909923,2,244953,0.024610949311911604,1.0091491020726426
21,은평구,3970250.0,29710000.0,13.36334567485695,7,485842,0.0488135798932765,8.171895389859255
22,종로구,3531790.7,23910000.0,14.771186532831452,10,159842,0.016059665976389654,22.0955111923024
23,중구,2969184.5000000005,9960000.0,29.811089357429722,5,135321,0.013595988911494002,21.941786566756086
24,중랑구,7078975.0,18500000.0,38.26472972972973,6,400989,0.04028821836692803,17.653788507914182
